4,7,9,3,5,6,2,2,2,2,7,2,1,0,5,1
7,9,3,2,3,8,0,7,9,3,2,6,0,5,6,2
0,4,8,3,6,6,5,1,9,6,6,6,4,1,2,5
2,8,6,4,3,3,7,5,8,7,2,7,1,0,3,6
0,8,7,6,0,5,2,9,8,7,7,3,1,6,8,5
9,9,5,1,0,5,5,0,8,6,2,0,6,9,7,1
5,2,7,1,9,9,4,0,3,1,3,6,4,0,3,6
4,8,3,8,4,3,4,5,5,1,9,5,3,6,2,0
2,0,4,8,6,1,8,6,0,7,2,3,0,4,4,6
9,6,1,1,2,6,4,6,3,3,9,7,3,7,6,6
9,8,5,5,3,5,8,0,6,9,5,6,8,7,6,1
6,9,8,0,1,3,9,5,8,0,9,8,1,4,0,5
4,9,7,8,4,8,6,9,0,7,9,8,6,8,8,1
1,8,8,1,0,6,0,3,9,1,7,4,5,8,5,5
6,8,3,7,2,6,1,3,0,0,8,0,9,6,6,4
3,3,7,5,2,7,5,1,8,9,7,1,8,2,9,6
