,219 ,292 ,242 ,185 ,219 ,286 ,276 ,251 ,347 ,132 ,189 ,324 ,269 ,226 ,329 ,164 
1,328 ,350 ,247 ,314 ,322 ,381 ,329 ,275 ,354 ,154 ,277 ,328 ,279 ,225 ,287 ,291 
2,266 ,394 ,328 ,221 ,319 ,381 ,373 ,300 ,364 ,208 ,202 ,348 ,328 ,256 ,349 ,238 
3,283 ,390 ,306 ,277 ,358 ,372 ,334 ,270 ,372 ,228 ,229 ,315 ,303 ,232 ,326 ,257 
4,363 ,368 ,256 ,284 ,390 ,433 ,364 ,356 ,464 ,240 ,313 ,334 ,368 ,293 ,375 ,312 
5,349 ,403 ,237 ,299 ,310 ,358 ,356 ,225 ,310 ,266 ,230 ,392 ,266 ,180 ,325 ,233 
6,265 ,360 ,323 ,174 ,202 ,334 ,317 ,267 ,320 ,154 ,165 ,362 ,256 ,226 ,304 ,228 
7,322 ,272 ,242 ,224 ,311 ,368 ,335 ,366 ,366 ,165 ,294 ,320 ,262 ,246 ,321 ,233 
8,278 ,277 ,279 ,162 ,224 ,330 ,289 ,271 ,313 ,223 ,218 ,246 ,255 ,204 ,266 ,261 
9,445 ,345 ,315 ,262 ,313 ,455 ,388 ,358 ,395 ,205 ,266 ,394 ,259 ,248 ,340 ,295 
10,421 ,465 ,382 ,319 ,368 ,472 ,466 ,352 ,393 ,317 ,270 ,466 ,351 ,262 ,438 ,271 
11,345 ,381 ,301 ,265 ,391 ,389 ,359 ,333 ,406 ,185 ,244 ,395 ,250 ,272 ,337 ,241 
12,495 ,413 ,390 ,274 ,419 ,531 ,458 ,509 ,556 ,291 ,362 ,486 ,442 ,397 ,529 ,325 
13,325 ,334 ,209 ,234 ,332 ,374 ,306 ,320 ,385 ,186 ,246 ,347 ,280 ,257 ,314 ,253 
14,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
15,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
16
